Year,Champion,Country
1982,Keke Rosberg,Finland
1983,Nelson Piquet,Brazil
1984,Niki Lauda,Austria
1985,Alain Prost,France
1986,Nigel Mansell,Britain
1987,Nigel Mansell,Britain
1988,Ayrton Senna,Brazil
1989,Jean Alesi,France
1990,Ayrton Senna,Brazil
1991,Ayrton Senna,Brazil
1992,Nigel Mansell,Britain
1993,Nigel Mansell,Britain
1994,Damon Hill,Britain
1995,Michael Schumacher,Germany
1996,Damon Hill,Britain
1997,Jacques Villeneuve,Canada
1998,Mika Hakkinen,Finland
1999,Mika Hakkinen,Finland
2008,Lewis Hamilton,Britain
2010,Sebastian Vettel,Germany
2011,Sebastian Vettel,Germany
2012,Sebastian Vettel,Germany
2018,Lewis Hamilton,Britain
2020,Lewis Hamilton,Britain
2021,Max Verstappen,Netherlands
2022,Max Verstappen,Netherlands
2023,Max Verstappen,Netherlands
2024,Max Verstappen,Netherlands
2025,Max Verstappen,Netherlands
