Year,Champion,Country
1982,Keke Rosberg,Finland
1983,Nelson Piquet,Brazil
1984,Niki Lauda,Austria
1985,Alain Prost,France
1986,Alain Prost,France
1987,Nelson Piquet,Brazil
1988,Ayrton Senna,Brazil
1989,Alain Prost,France
1990,Ayrton Senna,Brazil
1991,Ayrton Senna,Brazil
1992,Nigel Mansell,Britain
1993,Alain Prost,France
1994,Michael Schumacher,Germany
1995,Michael Schumacher,Germany
1996,Damon Hill,Britain
1997,Jacques Villeneuve,Canada
1998,Mika Hakkinen,Finland
1999,Mika Hakkinen,Finland
2000,Michael Schumacher,Germany
2001,Michael Schumacher,Germany
2002,Michael Schumacher,Germany
2003,Michael Schumacher,Germany
2004,Michael Schumacher,Germany
2005,Fernando Alonso,Spain
2006,Fernando Alonso,Spain
2007,Kimi Raikkonen,Finland
2008,Lewis Hamilton,Britain
2009,Jenson Button,Britain
2010,Sebastian Vettel,Germany
2011,Sebastian Vettel,Germany
2012,Sebastian Vettel,Germany
2013,Sebastian Vettel,Germany
2014,Lewis Hamilton,Britain
2015,Lewis Hamilton,Britain
2016,Nico Rosberg,Germany
2017,Lewis Hamilton,Britain
2018,Lewis Hamilton,Britain
2019,Lewis Hamilton,Britain
2020,Lewis Hamilton,Britain
2021,Max Verstappen,Netherlands
2022,Max Verstappen,Netherlands
2023,Max Verstappen,Netherlands
2024,Max Verstappen,Netherlands
2025,Lando Norris,Britain
